schoolNumber,name,address,zip,city,email
7398,Marie-Hassenpflug-Schule,Wahlgemeinde 19,34270,Schauenburg,poststelle7398@schule.hessen.de
7399,Johann-Friedrich-Krause-Schule,Leckenweg,34270,Schauenburg,poststelle7399@schule.hessen.de
7400,Grundschule Niederkaufungen,Leipziger Straße 263,34260,Kaufungen,poststelle7400@schule.hessen.de
7401,Schule Vollmarshausen,Kaufunger Straße 18,34253,Lohfelden-Vollmarshausen,poststelle7401@schule.hessen.de
7402,Grundschule Nieste,Witzenhäuser Straße 44,34329,Nieste,poststelle7402@schule.hessen.de
7403,Geschwister-Scholl-Schule,Geschwister-Scholl-Straße,34233,Fuldatal-Rothwesten,poststelle7403@schule.hessen.de
7404,Grundschule Sandershausen,Mühlenweg 14-16,34266,Niestetal,poststelle7404@schule.hessen.de
7405,Grundschule Söhrewald,Schulstraße  6,34320,Söhrewald,poststelle7405@schule.hessen.de
7406,Grundschule Niedervellmar,Jahnstraße  13,34246,Vellmar,poststelle7406@schule.hessen.de
7407,Grundschule Frommershausen,Simmershäuser Straße 10,34246,Vellmar,poststelle7407@schule.hessen.de
7408,Grundschule Obervellmar,Heckershäuser Straße 54,34246,Vellmar,poststelle7408@schule.hessen.de
7409,Helfensteinschule,Schulstraße 12,34292,Ahnatal-Weimar,poststelle7409@schule.hessen.de
7588,Mittelpunktschule Braunsberg,Schulstraße 10,34479,Breuna,poststelle7588@schule.hessen.de
7589,Grundschule Balhorn,Siedlungsstraße 32,34308,Bad Emstal,poststelle7589@schule.hessen.de
7591,Grundschule Dörnberg,Schulweg 12,34317,Habichtswald-Dörnberg,poststelle7591@schule.hessen.de
7593,Elbetalschule,Am Kuhberg  13,34311,Naumburg,poststelle7593@schule.hessen.de
7598,Grundschule Ippinghausen,Korbacher Straße 27,34466,Wolfhagen-Ippinghausen,poststelle7598@schule.hessen.de
7600,Erpetalschule,Schulstraße 10,34466,Wolfhagen-Wenigenhasungen,poststelle7600@schule.hessen.de
7646,Grundschule Am Stadtpark,Friedrich-Ebert-Allee 4a,34225,Baunatal,poststelle7646@schule.hessen.de
7647,Ludwig-Emil-Grimm-Schule,Schulstraße  8,34233,Fuldatal-Ihringshausen,poststelle7647@schule.hessen.de
7648,Ernst-Abbe-Schule,Schulstraße 24,34260,Kaufungen,poststelle7648@schule.hessen.de
7649,Regenbogenschule,Friedrich-Ebert-Ring 1-2,34253,Lohfelden,poststelle7649@schule.hessen.de
7650,Astrid-Lindgren-Schule,Friedrich-Ebert-Straße 25,34266,Niestetal,poststelle7650@schule.hessen.de
7662,Grundschule Wolfhagen,Ippinghäuser Straße 13,34466,Wolfhagen,poststelle7662@schule.hessen.de
7671,Fritz-Hufschmidt-Schule,Neißer Straße  1,34289,Zierenberg,poststelle7671@schule.hessen.de
7674,Eschenwaldschule,An der langen Wiese 11-13,34298,Helsa-Eschenstruth,poststelle7674@schule.hessen.de
7680,Schule im Erlenhof,Oderweg 7,34317,Habichtswald-Ehlen,poststelle7680@schule.hessen.de
8230,Brüder-Grimm-Schule,Würfelturmstraße 9,34369,Hofgeismar,poststelle8230@schule.hessen.de
8249,Baunsbergschule,Auf dem Wiede 6,34225,Baunatal,poststelle8249@schule.hessen.de
8250,Schule am Rosengarten,Kurfürstenstraße 20,34466,Wolfhagen,poststelle8250@schule.hessen.de
8265,Käthe-Kollwitz-Schule,Käthe-Kollwitz-Straße 10,34369,Hofgeismar,poststelle8265@schule.hessen.de
8612,Herderschule,Maulbeerplantage 1,34123,Kassel,poststelle8612@schule.hessen.de
8634,Albert-Schweitzer-Schule,Magazinstraße 21,34369,Hofgeismar,poststelle8634@schule.hessen.de
8654,Georg-Christoph-Lichtenberg-Schule,Brückenhofstraße 88,34132,Kassel,poststelle8654@schule.hessen.de
9204,Theodor-Heuss-Schule,Friedrich-Ebert-Allee 4,34225,Baunatal,poststelle9204@schule.hessen.de
9205,Gesamtschule Fuldatal,Weserstraße 38,34233,Fuldatal,poststelle9205@schule.hessen.de
9206,Wilhelm-Leuschner-Schule,Karl-Marx-Straße 32,34266,Niestetal,poststelle9206@schule.hessen.de
9207,Gesamtschule Kaufungen,Friedrich-Ebert-Straße 28,34260,Kaufungen,poststelle9207@schule.hessen.de
9208,Söhre-Schule,Lange Straße 51,34253,Lohfelden,poststelle9208@schule.hessen.de
9209,Ahnatal-Schule,Mittelring 20,34246,Vellmar,poststelle9209@schule.hessen.de
9211,Walter-Lübcke-Schule,Kurfürstenstraße 20,34466,Wolfhagen,poststelle9211@schule.hessen.de
9215,Marie-Durand-Schule,Carlstraße 27,34385,Bad Karlshafen,poststelle9215@schule.hessen.de
9216,Erich-Kästner-Schule,Friedrich-Ebert-Allee 33,34225,Baunatal,poststelle9216@schule.hessen.de
9227,Heinrich-Grupe-Schule,Hofgeismarer Straße 9,34393,Grebenstein,poststelle9227@schule.hessen.de
9229,Gustav-Heinemann-Schule,Adolf-Häger-Straße 8,34369,Hofgeismar,poststelle9229@schule.hessen.de
9230,Fr.-von-Stein-Schule,Kampweg 24,34376,Immenhausen,poststelle9230@schule.hessen.de
9239,Christine-Brückner-Schule,Otto-Heinrich-Kühner-Str. 2-6,34308,Bad Emstal,poststelle9239@schule.hessen.de
9240,Elisabeth-Selbert-Schule,Zum Steinborn 1,34289,Zierenberg,poststelle9240@schule.hessen.de
9708,Herwig-Blankertz-Schule,Magazinstraße 23,34369,Hofgeismar,Sekretariat9708@schule.hessen.de
9712,Willy-Brandt-Schule,Brückenhofstraße 90,34132,Kassel,poststelle9712@schule.hessen.de
97081,Herwig-Blankertz-Schule,Am Gasterfelderholz 1,34466,Wolfhagen,poststelle9708@schule.hessen.de
